ID	pop	age	sex	mass	b.l	b.w	b.d	w.l	t.max	t.min	t.w	ts.l	h.l
B72879.Cajamarca.Llama	Llama	a	f	18.2	9.91	2.62	3.47	damaged	molt	molt	molt	18.22	16
B72809.Ancash.Macate	Macate	a	f	20.7	10.97	3.02	4.16	69.99	76.36	40.46	10.83	21.8	17.46
B72888.Ancash.Macate	Macate	a	f	24.3	11.62	2.94	4.34	70.85	83.21	41	14.18	21.73	17.52
B72810.Ancash.Macate	Macate	a	f	22.6	11.42	3.2	4.23	68.17	75.73	43.08	13.03	20.53	15.31
B72806.Ancash.Macate	Macate	a	m	22.7	11.88	3.14	4.16	74.56	80.56	43.37	13.17	22.23	17.53
B72815.Ancash.Macate	Macate	a	f	24.9	11.22	3.07	4.38	73.8	81.64	44.67	12.03	21.2	17.56
B72811.Ancash.Macate	Macate	a	m	20.8	12.55	3.33	4	73.51	84.88	46.79	12.25	24.02	17
B72807.Ancash.Macate	Macate	a	?	20.7	12.21	3.26	4.05	70.29	76.19	NA	11.34	21.62	16.36
B72808.Ancash.Macate	Macate	a	m	21.7	NA	NA	NA	NA	NA	NA	NA	NA	NA
B72812.Ancash.Macate	Macate	a	m	27	12.44	3.35	4.3	73.93	NA	NA	12.13	21.51	17.87
B72813.Ancash.Macate	Macate	a	f	21.6	11.77	3.33	4.06	70.17	NA	NA	NA	20.58	16.63
B72814.Ancash.Macate	Macate	a	f	23.9	11.97	3.36	4.25	70.9	78.98	NA	10.63	21.39	16.95
NK_171570	Macate	a	m	20	NA	NA	NA	NA	NA	NA	NA	NA	NA
NK_173870	Macate	a	m	23.49	NA	NA	NA	NA	NA	NA	NA	NA	NA
B72771.Huanuco.Mitotambo	Mitotambo	j	m	25.5	11.47	3.58	4.48	78.68	88.13	41.02	11.52	25.15	18.17
B72769.Huanuco.Mitotambo	Mitotambo	a	f	29.2	damaged	damaged	damaged	77.91	89.95	42.59	12.9	22.61	16.71
B72770.Huanuco.Mitotambo	Mitotambo	j	f	23.7	9.07	2.87	4.06	73.41	77.37	42.6	13.26	23.2	16.71
B72774.Huanuco.Mitotambo	Mitotambo	a	f	27.7	11.87	2.78	4.2	78.23	84.21	45.08	12.13	23.6	17.53
